Feature,Importance
PageValues,0.5028111911489257
ExitRates,0.08939494138459522
ProductRelated_Duration,0.07539066982824875
ProductRelated,0.049357358979796165
BounceRates,0.047913882599644214
Month_Nov,0.03722780624341066
Administrative_Duration,0.03576550084853427
Administrative,0.03236008869115547
TrafficType,0.01580963187591355
Informational_Duration,0.015284213304160918
Region,0.012942411738825552
Month_May,0.012628477124354888
Informational,0.010525241921604936
Browser,0.009528587299637127
OperatingSystems,0.008824259543311657
Month_Mar,0.008614232607230082
VisitorType_Returning_Visitor,0.008361821800350949
SpecialDay,0.005581543963318575
Weekend,0.004532439342634931
Month_Sep,0.004333836981227688
Month_Dec,0.003781715215826693
Month_Jul,0.003642667114210403
Month_Oct,0.0032116530433386192
Month_June,0.0011314977836201614
Month_Feb,0.0006320146423451796
VisitorType_Other,0.00041231497377760466
